ANVENDELSE,TID,TIMELOEN_KR
10120,1998,168.62298782618043
10120,1999,166.71729384354703
10120,2000,171.25747283202628
10120,2001,177.9146408767181
10120,2002,186.38921856510498
10120,2003,198.10179248503186
10120,2004,204.59416349118206
10120,2005,215.89703895460968
10120,2006,225.25355310649147
10120,2007,239.932699234579
10120,2008,247.39117861371713
10120,2009,252.65251234175668
10120,2010,262.0428864656831
10120,2011,260.515143880122
10120,2012,266.62836280851775
10120,2013,271.5241004752206
10120,2014,276.0594070080863
10120,2015,277.4187280542915
10120,2016,294.32352986871746
10120,2017,299.88461129103376
10120,2018,309.8482208378222
10120,2019,316.771753307248
10120,2020,314.174926185376
10120,2021,326.18734705107227
10120,2022,333.3415445878386
Privat,1966,10.312987177169388
Privat,1967,11.600268676114908
Privat,1968,12.969816191850294
Privat,1969,14.721626394422723
Privat,1970,16.419399572716717
Privat,1971,18.75325315865229
Privat,1972,21.059298224967556
Privat,1973,24.725790844196304
Privat,1974,29.59782079942701
Privat,1975,35.41686587472264
Privat,1976,39.478798131645284
Privat,1977,44.58248496957483
Privat,1978,49.83736232064291
Privat,1979,55.3401235376955
Privat,1980,61.53472305528221
Privat,1981,68.6951384129565
Privat,1982,76.37832547848393
Privat,1983,84.17378657599416
Privat,1984,90.06228525990393
Privat,1985,96.20613306942845
Privat,1986,101.58234168689995
Privat,1987,112.588222464286
Privat,1988,120.23262986075306
Privat,1989,127.26407612284048
Privat,1990,134.5933286957097
Privat,1991,139.67843328075102
Privat,1992,143.4663835626452
Privat,1993,146.42297438706134
Privat,1994,152.02627802021695
Privat,1995,155.8051128998541
Privat,1996,162.84914650340303
Privat,1997,166.34018127735638
Privat,1998,171.86196319145753
Privat,1999,175.10932222268326
Privat,2000,178.99854671277546
Privat,2001,186.12954646013824
Privat,2002,194.66272942053135
Privat,2003,203.3737201323891
Privat,2004,209.0886011357048
Privat,2005,218.66080044124396
Privat,2006,226.9232835073458
Privat,2007,240.61119601633072
Privat,2008,248.0353208054422
Privat,2009,256.0610673294334
Privat,2010,262.5915680205248
Privat,2011,264.19393490806453
Privat,2012,270.42135933345963
Privat,2013,272.9561094940389
Privat,2014,278.91267073811395
Privat,2015,286.52096449796096
Privat,2016,287.36456151846517
Privat,2017,293.97477756431874
Privat,2018,305.1984781943502
Privat,2019,311.10504049330757
Privat,2020,327.95565649550133
Privat,2021,328.06869644471345
Privat,2022,336.69936239670164
REST,1966,11.578430489454853
REST,1967,12.994332119470739
REST,1968,14.604468711975361
REST,1969,16.579907383159302
REST,1970,18.656783145694657
REST,1971,21.37933917844056
REST,1972,23.97037376004238
REST,1973,27.734018053578566
REST,1974,33.053165001512625
REST,1975,39.41598996202723
REST,1976,43.800474345389965
REST,1977,49.329404986538364
REST,1978,54.723885799888606
REST,1979,60.128074624558835
REST,1980,65.23713042231111
REST,1981,72.80623310288411
REST,1982,81.36663875934515
REST,1983,88.75650365529086
REST,1984,94.01826596810464
REST,1985,99.50681840527913
REST,1986,103.7743111420396
REST,1987,114.86773858634385
REST,1988,123.04578709806968
