TILGANG1,TILGANG2,ANVENDELSE,TID,Pt
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1977,0.6495389354142314
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1978,0.6942538935743562
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1979,0.6789613481658548
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1980,0.7427235491168135
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1981,0.8585007444038066
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1982,0.9595257272266212
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1983,0.9340762573896576
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1984,1.0287751640705398
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1985,0.9945292999817748
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1986,0.8902208516463093
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1987,0.834397041249092
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1988,0.8636852775846504
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1989,0.9956273146461859
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1990,0.8983164039350516
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1991,0.8591765175015379
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1992,0.887501502538449
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1993,0.7258672416619557
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1994,0.7373020680389569
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1995,0.7729571340866901
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1996,0.8085056289946038
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1997,0.8326276758136794
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1998,0.6402433091721662
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1999,0.5944247537181008
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2000,0.7168844544543429
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2001,0.8174310028109161
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2002,0.6790777480674801
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2003,0.6001579052245566
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2004,0.6616079256742535
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2005,0.6776578527480378
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2006,0.7111056218858491
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2007,0.6556435907221382
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2008,0.7258052477797021
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2009,0.7093778452822191
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2010,0.7303350349176064
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2011,0.8136921594651275
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2012,0.929137692689875
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2013,0.9391499991108287
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2014,0.8679706080496886
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2015,0.7935519720335544
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2016,0.8472969023275362
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2017,0.9315436377658147
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2018,0.8018353663105446
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2019,0.9674160432624924
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2020,1.0
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2021,0.8627260098448921
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2022,0.9886060452545666
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1967,0.18380042090231333
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1968,0.18298599950295655
