BEHOLD,BRANCHE,TID,INDHOLD
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1990,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1991,270977.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1991,75678.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1991,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1991,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1992,269956.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1992,78426.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1992,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1992,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1993,265165.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1993,79444.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1993,8517.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1993,6200.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1994,261404.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1994,80168.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1994,9728.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1994,6403.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1995,258846.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1995,80875.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1995,10927.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1995,6422.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1996,255722.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1996,83394.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1996,11353.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1996,8467.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1997,253481.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1997,83779.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1997,12656.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1997,6945.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1998,250903.0
