TILGANG1,ANVENDELSE,PRISENHED,TID,INDHOLD
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1994,8.247
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1994,8.616
Moms,100010 Slagterier- (Anvendelse),Løbende priser,1994,5.955
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,1994,5.819
Moms,100030 Mejerier- (Anvendelse),Løbende priser,1994,5.518
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,1994,5.366
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1994,-1686.806
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1994,-1777.852
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Løbende priser,1994,20.04
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Foregående års priser,1994,18.49
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Løbende priser,1994,104.029
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Foregående års priser,1994,146.251
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1973,0.234
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1973,0.199
Moms,100010 Slagterier- (Anvendelse),Løbende priser,1973,0.0
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,1973,0.0
Moms,100030 Mejerier- (Anvendelse),Løbende priser,1973,0.0
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,1973,0.0
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1973,-476.047
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1973,-319.559
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Løbende priser,1973,-51.878
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Foregående års priser,1973,-48.861
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Løbende priser,1973,-86.653
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Foregående års priser,1973,-82.366
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1999,4671.333
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1999,
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,1999,5961.531
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,1999,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,1999,2680.082
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Foregående års priser,1999,
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1999,9.102
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1999,8.632
Moms,100010 Slagterier- (Anvendelse),Løbende priser,1999,7.429
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,1999,7.192
Moms,100030 Mejerier- (Anvendelse),Løbende priser,1999,6.814
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,1999,6.671
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1988,4014.461
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1988,
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,1988,4894.528
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,1988,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,1988,2089.624
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Foregående års priser,1988,
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1994,-1230.653
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1994,
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Løbende priser,1994,-152.947
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Foregående års priser,1994,
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Løbende priser,1994,-278.983
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Foregående års priser,1994,
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1973,196.21
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1973,
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Løbende priser,1973,3.593
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Foregående års priser,1973,
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Løbende priser,1973,4.254
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Foregående års priser,1973,
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1999,-1860.217
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1999,-1936.11
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Løbende priser,1999,83.466
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Foregående års priser,1999,55.954
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Løbende priser,1999,150.729
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Foregående års priser,1999,121.559
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1988,9.331
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1988,8.193
Moms,100010 Slagterier- (Anvendelse),Løbende priser,1988,5.737
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,1988,5.645
Moms,100030 Mejerier- (Anvendelse),Løbende priser,1988,1.62
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,1988,1.333
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1996,4373.701
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1996,
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1986,6.72
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1986,6.621
Moms,100010 Slagterier- (Anvendelse),Løbende priser,1986,4.543
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,1986,4.391
Moms,100030 Mejerier- (Anvendelse),Løbende priser,1986,0.402
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,1986,0.389
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1986,-1103.686
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1986,-1004.991
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Løbende priser,1986,56.089
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Foregående års priser,1986,47.031
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Løbende priser,1986,-293.304
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Foregående års priser,1986,-242.863
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,2003,5553.263
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2003,
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,2003,6578.866
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,2003,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,2003,3382.468
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Foregående års priser,2003,
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,2003,9.225
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2003,9.091
Moms,100010 Slagterier- (Anvendelse),Løbende priser,2003,6.144
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,2003,6.047
Moms,100030 Mejerier- (Anvendelse),Løbende priser,2003,4.202
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,2003,4.121
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,1996,5304.565
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,1996,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,1996,2447.945
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Foregående års priser,1996,
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1996,9.122
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1996,8.095
Moms,100010 Slagterier- (Anvendelse),Løbende priser,1996,4.783
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,1996,4.661
Moms,100030 Mejerier- (Anvendelse),Løbende priser,1996,5.231
