SOCIO,BRANCHE,TID,INDHOLD
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2004,3777553
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2005,3831490
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2006,3945347
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2007,3982606
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2008,4031922
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2009,3874874
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2010,3801642
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2011,3841495
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2012,3779790
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2013,3791810
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2014,3786947
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2015,3824962
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2016,3909128
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2017,3946202
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2018,3944521
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2019,3983104
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2020,3837360
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2021,4072751
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2022,4236545
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1966,97800
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1967,93506
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1968,87958
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1969,85218
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1970,84063
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1971,79268
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1972,75336
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1973,71064
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1974,69597
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1975,63730
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1976,63080
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1977,63045
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1978,60837
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1979,60222
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1980,59378
