BEHOLD,BRANCHE,PRISENHED,TID,INDHOLD
"AN.11 Faste aktiver, nettobeholdning ultimo året",53000 Post og kurertjeneste,"2020-priser, kædede værdier",1966,1325.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",53000 Post og kurertjeneste,Løbende priser,1966,190.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",55560 Hoteller og restauranter,"2020-priser, kædede værdier",1966,11596.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",55560 Hoteller og restauranter,Løbende priser,1966,2670.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",58000 Udgivervirksomhed,"2020-priser, kædede værdier",1966,4564.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",58000 Udgivervirksomhed,Løbende priser,1966,738.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","59600 Radio- og tv-stationer samt produktion af film, tv, mus","2020-priser, kædede værdier",1966,1885.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","59600 Radio- og tv-stationer samt produktion af film, tv, mus",Løbende priser,1966,281.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",61000 Telekommunikation,"2020-priser, kædede værdier",1966,26214.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",61000 Telekommunikation,Løbende priser,1966,4453.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",62630 It- og informationstjenester,"2020-priser, kædede værdier",1966,1308.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",62630 It- og informationstjenester,Løbende priser,1966,543.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",64000 Finansiel virksomhed,"2020-priser, kædede værdier",1966,27770.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",64000 Finansiel virksomhed,Løbende priser,1966,4814.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",65000 Forsikring og pension,"2020-priser, kædede værdier",1966,9647.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",65000 Forsikring og pension,Løbende priser,1966,1829.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",66000 Finansiel service,"2020-priser, kædede værdier",1966,2502.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",66000 Finansiel service,Løbende priser,1966,382.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",68100 Ejendomsmæglere mv.,"2020-priser, kædede værdier",1966,713.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",68100 Ejendomsmæglere mv.,Løbende priser,1966,145.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","68203 Boliger, husleje i lejeboliger","2020-priser, kædede værdier",1966,708691.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","68203 Boliger, husleje i lejeboliger",Løbende priser,1966,44123.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","68204 Boliger, ejerboliger mv.","2020-priser, kædede værdier",1966,664974.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","68204 Boliger, ejerboliger mv.",Løbende priser,1966,64273.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",68300 Udlejning af erhvervsejendomme,"2020-priser, kædede værdier",1966,67919.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",68300 Udlejning af erhvervsejendomme,Løbende priser,1966,10276.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","69700 Advokater, revisorer og virksomhedskonsulenter","2020-priser, kædede værdier",1966,2747.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","69700 Advokater, revisorer og virksomhedskonsulenter",Løbende priser,1966,555.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",71000 Arkitekter og rådgivende ingeniører,"2020-priser, kædede værdier",1966,2106.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",71000 Arkitekter og rådgivende ingeniører,Løbende priser,1966,617.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","72001 Forskning og udvikling, markedsmæssig","2020-priser, kædede værdier",1966,1780.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","72001 Forskning og udvikling, markedsmæssig",Løbende priser,1966,171.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","72002 Forskning og udvikling, ikke-markedsmæssig","2020-priser, kædede værdier",1966,10086.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","72002 Forskning og udvikling, ikke-markedsmæssig",Løbende priser,1966,791.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",73000 Reklame- og analysebureauer,"2020-priser, kædede værdier",1966,634.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",73000 Reklame- og analysebureauer,Løbende priser,1966,137.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",74750 Dyrlæger og anden videnservice,"2020-priser, kædede værdier",1966,444.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",74750 Dyrlæger og anden videnservice,Løbende priser,1966,148.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",77000 Udlejning og leasing af materiel,"2020-priser, kædede værdier",1966,3494.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",77000 Udlejning og leasing af materiel,Løbende priser,1966,1055.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",78000 Arbejdsformidling og vikarbureauer,"2020-priser, kædede værdier",1966,112.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",78000 Arbejdsformidling og vikarbureauer,Løbende priser,1966,47.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",79000 Rejsebureauer,"2020-priser, kædede værdier",1966,77.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",79000 Rejsebureauer,Løbende priser,1966,16.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",80820 Rengøring og anden operationel service,"2020-priser, kædede værdier",1966,3225.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",80820 Rengøring og anden operationel service,Løbende priser,1966,496.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","84101 Redningskorps mv., markedsmæssig","2020-priser, kædede værdier",1966,736.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","84101 Redningskorps mv., markedsmæssig",Løbende priser,1966,80.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",84202 Offentlig administration mv.,"2020-priser, kædede værdier",1966,241666.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",84202 Offentlig administration mv.,Løbende priser,1966,15886.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","85101 Voksenundervisning mv., markedsmæssig","2020-priser, kædede værdier",1966,1306.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","85101 Voksenundervisning mv., markedsmæssig",Løbende priser,1966,193.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","85202 Undervisning, ikke-markedsmæssig","2020-priser, kædede værdier",1966,191879.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","85202 Undervisning, ikke-markedsmæssig",Løbende priser,1966,13317.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",86000 Sundhedsvæsen,"2020-priser, kædede værdier",1966,50176.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",86000 Sundhedsvæsen,Løbende priser,1966,4755.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",87880 Sociale institutioner,"2020-priser, kædede værdier",1966,58319.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",87880 Sociale institutioner,Løbende priser,1966,5169.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","90920 Kunst, kultur og spil","2020-priser, kædede værdier",1966,37046.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","90920 Kunst, kultur og spil",Løbende priser,1966,2458.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","93000 Sport, forlystelsesparker og andre fritidsaktiviteter","2020-priser, kædede værdier",1966,10050.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","93000 Sport, forlystelsesparker og andre fritidsaktiviteter",Løbende priser,1966,1157.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",94000 Organisationer og foreninger,"2020-priser, kædede værdier",1966,16252.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",94000 Organisationer og foreninger,Løbende priser,1966,2482.0
