TILGANG1,ANVENDELSE,PRISENHED,TID,INDHOLD
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1999,139.495
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1999,8.278
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1988,9.331
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1988,8.193
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1988,26.641
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1988,23.788
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1996,4373.701
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1996,
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1986,6.72
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1986,6.621
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1986,15.871
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1986,15.394
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1986,-1103.686
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1986,-1004.991
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1986,-32.195
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1986,-4.806
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2003,5553.263
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2003,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,2003,21473.64
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,2003,
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2003,9.225
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2003,9.091
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,2003,48.824
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,2003,48.158
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1996,17855.643
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1996,
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1996,9.122
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1996,8.095
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1996,34.136
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1996,34.176
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1996,-1806.787
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1996,-1956.179
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1996,-228.683
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1996,-267.313
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1971,859.106
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1971,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1971,3503.577
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1971,
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1971,0.178
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1971,0.162
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1971,0.0
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1971,0.0
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1986,-433.568
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1986,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1986,-105.162
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1986,
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2003,-467.391
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2003,-616.73
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,2003,-1432.964
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,2003,-1275.904
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2003,-1656.152
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2003,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,2003,-46.394
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,2003,
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1996,-1257.992
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1996,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1996,-530.265
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1996,
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1971,-38.791
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1971,-32.888
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1971,-1103.916
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1971,-919.307
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1971,183.92
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1971,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1971,15.895
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1971,
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1986,3725.116
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1986,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1986,14288.641
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1986,
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1968,0.098
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1968,0.082
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1968,0.0
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1968,0.0
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2019,-6202.706
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2019,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,2019,535.978
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,2019,
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1983,2835.623
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1983,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1983,11971.978
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1983,
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1983,1.337
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1983,1.191
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1983,0.0
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1983,0.0
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2004,5656.522
Aflønning af ansatte,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2004,
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,2004,21369.042
Aflønning af ansatte,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,2004,
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2005,13.833
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2005,11.569
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,2005,51.993
