ANVENDELSE,TID,afgift
REST_ANVENDELSE Øvrige brancher,1973,2461.553
REST_ANVENDELSE Øvrige brancher,1974,3042.7349999999997
REST_ANVENDELSE Øvrige brancher,1975,3198.116
REST_ANVENDELSE Øvrige brancher,1976,4431.998
REST_ANVENDELSE Øvrige brancher,1977,5651.984
REST_ANVENDELSE Øvrige brancher,1978,7021.742
REST_ANVENDELSE Øvrige brancher,1979,8358.353
REST_ANVENDELSE Øvrige brancher,1980,9476.611
REST_ANVENDELSE Øvrige brancher,1981,10186.882
REST_ANVENDELSE Øvrige brancher,1982,11039.035
REST_ANVENDELSE Øvrige brancher,1983,12554.85
REST_ANVENDELSE Øvrige brancher,1984,10146.922
REST_ANVENDELSE Øvrige brancher,1985,12662.510999999999
REST_ANVENDELSE Øvrige brancher,1986,18318.316
REST_ANVENDELSE Øvrige brancher,1987,20325.078999999998
REST_ANVENDELSE Øvrige brancher,1988,21597.1
REST_ANVENDELSE Øvrige brancher,1989,23155.506
REST_ANVENDELSE Øvrige brancher,1990,24504.216
REST_ANVENDELSE Øvrige brancher,1991,25268.427
REST_ANVENDELSE Øvrige brancher,1992,26096.952
REST_ANVENDELSE Øvrige brancher,1993,26526.968999999997
REST_ANVENDELSE Øvrige brancher,1994,27283.479
REST_ANVENDELSE Øvrige brancher,1995,28792.050000000003
REST_ANVENDELSE Øvrige brancher,1996,31757.190000000002
REST_ANVENDELSE Øvrige brancher,1997,35060.354999999996
REST_ANVENDELSE Øvrige brancher,1998,40444.147
REST_ANVENDELSE Øvrige brancher,1999,43582.195999999996
REST_ANVENDELSE Øvrige brancher,2000,43288.358
REST_ANVENDELSE Øvrige brancher,2001,46970.229
REST_ANVENDELSE Øvrige brancher,2002,48868.003
REST_ANVENDELSE Øvrige brancher,2003,49688.062999999995
REST_ANVENDELSE Øvrige brancher,2004,52647.95
REST_ANVENDELSE Øvrige brancher,2005,57300.168000000005
REST_ANVENDELSE Øvrige brancher,2006,60502.045
REST_ANVENDELSE Øvrige brancher,2007,63070.028
REST_ANVENDELSE Øvrige brancher,2008,63958.691000000006
REST_ANVENDELSE Øvrige brancher,2009,62461.176
REST_ANVENDELSE Øvrige brancher,2010,64414.561
REST_ANVENDELSE Øvrige brancher,2011,65458.742
REST_ANVENDELSE Øvrige brancher,2012,67230.401
REST_ANVENDELSE Øvrige brancher,2013,65991.013
REST_ANVENDELSE Øvrige brancher,2014,67167.88
REST_ANVENDELSE Øvrige brancher,2015,66461.482
REST_ANVENDELSE Øvrige brancher,2016,67729.137
REST_ANVENDELSE Øvrige brancher,2017,68612.523
REST_ANVENDELSE Øvrige brancher,2018,70253.174
REST_ANVENDELSE Øvrige brancher,2019,67811.271
REST_ANVENDELSE Øvrige brancher,2020,68645.137
REST_ANVENDELSE Øvrige brancher,2021,74630.676
REST_ANVENDELSE Øvrige brancher,2022,79252.332
