BEHOLD,BRANCHE,PRISENHED,TID,INDHOLD
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,"2020-priser, kædede værdier",1977,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,Løbende priser,1977,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1977,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1977,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,"2020-priser, kædede værdier",1978,265709.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,Løbende priser,1978,74038.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1978,54643.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1978,16400.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,"2020-priser, kædede værdier",1978,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,Løbende priser,1978,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1978,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1978,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,"2020-priser, kædede værdier",1979,273950.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,Løbende priser,1979,81166.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1979,57092.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1979,18403.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,"2020-priser, kædede værdier",1979,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,Løbende priser,1979,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1979,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1979,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,"2020-priser, kædede værdier",1980,274839.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,Løbende priser,1980,89334.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1980,58318.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1980,21167.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,"2020-priser, kædede værdier",1980,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,Løbende priser,1980,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1980,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1980,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,"2020-priser, kædede værdier",1981,271574.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,Løbende priser,1981,98923.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1981,59085.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1981,24187.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,"2020-priser, kædede værdier",1981,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,Løbende priser,1981,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1981,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1981,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,"2020-priser, kædede værdier",1982,269172.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,Løbende priser,1982,107972.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1982,59216.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1982,26571.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,"2020-priser, kædede værdier",1982,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,Løbende priser,1982,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1982,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1982,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,"2020-priser, kædede værdier",1983,265387.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,Løbende priser,1983,113346.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1983,59268.0
