TILGANG2,ANVENDELSE,TID,P_M,M
10120,REST,2007,0.8517386153311421,28563.637754073214
10120,REST,2008,0.903153322070891,25055.380284166127
10120,REST,2009,0.8807041116229344,23800.297243141453
10120,REST,2010,0.9075253142859522,21940.903650823988
10120,REST,2011,0.9626032490261108,21426.767593213153
10120,REST,2012,0.9826539307120623,21663.060604732476
10120,REST,2013,0.977189507383513,22958.324000250617
10120,REST,2014,0.9592611294158496,25973.237363881573
10120,REST,2015,0.9598261973330552,25857.519641807983
10120,REST,2016,0.9678019788688573,24743.997123917612
10120,REST,2017,0.9809688066659892,25628.76821038303
10120,REST,2018,0.9764530909357156,26962.929329128903
10120,REST,2019,0.994524108559683,28505.59513803706
10120,REST,2020,1.0,26905.081866709555
10120,REST,2021,1.0135983534605029,26306.569638123063
10120,REST,2022,1.133344109445561,29030.566732534153
REST,01000,1967,0.12905156900223758,24212.281501899968
REST,01000,1968,0.13546283160938946,24521.907183254272
REST,01000,1969,0.13890254178922115,24316.618631023943
REST,01000,1970,0.14697009814969533,24700.403614866304
REST,01000,1971,0.1544674461576091,25343.59865384481
REST,01000,1972,0.1700469313906192,26148.67361765606
REST,01000,1973,0.19613461306179264,27183.027738654302
REST,01000,1974,0.2390731193717277,25286.411927644494
REST,01000,1975,0.2714524094242968,23886.978561530228
REST,01000,1976,0.28113120969502176,25801.882834785178
REST,01000,1977,0.29541045453750836,25659.085528890148
REST,01000,1978,0.3142435283370225,27612.974296671004
REST,01000,1979,0.3454610564965509,28449.23911135684
REST,01000,1980,0.39497132459705114,27564.921120166095
REST,01000,1981,0.4533540706661607,26388.55106666798
REST,01000,1982,0.5053891518726851,27366.303381974623
REST,01000,1983,0.5331236376392706,28148.096298393753
REST,01000,1984,0.5545796712164955,29433.855830066757
REST,01000,1985,0.5622746485173437,29556.500333286094
REST,01000,1986,0.5526164873184026,29591.107548320037
REST,01000,1987,0.5139772594362604,31657.561775357906
REST,01000,1988,0.5351814189767437,32326.874347901627
REST,01000,1989,0.5740670183367382,30992.182141013738
REST,01000,1990,0.569297060453182,31990.547063144808
REST,01000,1991,0.5821320684968718,31010.724812402746
REST,01000,1992,0.5884339968460147,31123.89955829094
REST,01000,1993,0.563993535910794,32575.667566718475
REST,01000,1994,0.5783714315573434,30957.79130919209
REST,01000,1995,0.5872946822266388,29475.72504437773
REST,01000,1996,0.5895479651202485,29157.62962459883
REST,01000,1997,0.6061946035828337,30784.784171764306
REST,01000,1998,0.5912593348782116,31131.52208113908
REST,01000,1999,0.593125408836546,31444.60244545862
REST,01000,2000,0.6221169438977407,29870.55746548541
REST,01000,2001,0.6560897974614297,28292.565152432147
REST,01000,2002,0.6878575187162044,28009.189774768172
REST,01000,2003,0.6975897257507861,26556.091354208773
REST,01000,2004,0.7102132603834306,26306.097027930187
REST,01000,2005,0.7786812848583281,26947.011772276215
REST,01000,2006,0.7903570050450676,27761.452941181324
REST,01000,2007,0.8239136668594605,27117.87821342828
REST,01000,2008,0.9204570787114923,28326.669972765827
REST,01000,2009,0.9152909789533707,27441.91314297603
REST,01000,2010,0.9537287214309611,27030.291014207778
REST,01000,2011,1.008067980381242,26760.581935919934
REST,01000,2012,1.012480995151913,26767.825331733595
REST,01000,2013,1.004086293835432,28026.144988753156
REST,01000,2014,1.018524340995124,27056.485499262588
REST,01000,2015,1.0197665464932804,27727.156650337936
REST,01000,2016,0.9769604148783214,27262.11564191855
REST,01000,2017,0.9984294114039727,27614.70609313611
REST,01000,2018,1.023676915462531,26564.36180439797
REST,01000,2019,1.036518120493557,25069.299494758703
REST,01000,2020,1.0,26472.793932681318
REST,01000,2021,1.084136070530634,26630.45086322892
REST,01000,2022,1.3719210552459087,25295.3738450521
REST,10120,1967,0.154702782590569,14997.059255623548
REST,10120,1968,0.15792156765257193,17317.515276010243
REST,10120,1969,0.16648898972917553,17718.32782948276
REST,10120,1970,0.17837462994820508,18852.84782398137
REST,10120,1971,0.18337972878753792,21081.749099143144
REST,10120,1972,0.19935880563626443,22128.368661860924
REST,10120,1973,0.24365070417291831,21515.207194392657
REST,10120,1974,0.29844806153623404,23242.772386220477
REST,10120,1975,0.29205593168231087,22411.144718871816
REST,10120,1976,0.32288265451350356,24179.072108717603
REST,10120,1977,0.3605732758720639,24086.38923191125
REST,10120,1978,0.3698009482993002,24480.794546566438
REST,10120,1979,0.3933005309378453,26021.191858443563
REST,10120,1980,0.45468309103814303,28145.825702665024
REST,10120,1981,0.517240948492257,28377.307162650584
REST,10120,1982,0.5547509988413367,29428.42077573523
REST,10120,1983,0.5965311301597954,28941.095384524386
REST,10120,1984,0.6211334018607279,30764.75292689592
REST,10120,1985,0.635373289719515,30739.438382909957
REST,10120,1986,0.611103752376035,33018.04317976648
REST,10120,1987,0.6012860615862368,34950.78694564911
REST,10120,1988,0.6154523326674827,34339.64699433967
REST,10120,1989,0.6607206098036129,34780.09789379857
REST,10120,1990,0.6796457171087218,36841.55893251417
REST,10120,1991,0.6926836841723762,37934.68579635668
REST,10120,1992,0.6805780790100695,38019.29934998053
REST,10120,1993,0.6747499548270469,37876.63170172639
REST,10120,1994,0.6934923680188322,39432.06191973338
REST,10120,1995,0.7078202106859668,37327.63510124198
REST,10120,1996,0.7115218886830919,37577.96188237822
REST,10120,1997,0.7259777732203212,37424.553906511974
REST,10120,1998,0.7413209153442052,38056.36801999814
REST,10120,1999,0.73302755266381,38858.06435425514
REST,10120,2000,0.7501132853579631,39169.73685243599
REST,10120,2001,0.7778102641258143,39340.16978555516
REST,10120,2002,0.7760607677638679,41093.18399656641
REST,10120,2003,0.7763983755825317,40985.86207718942
REST,10120,2004,0.7816387177904446,40707.73591031415
REST,10120,2005,0.8342076744221993,43209.278491475256
REST,10120,2006,0.8523968240199502,43821.58667975108
REST,10120,2007,0.8808950235396511,42039.381404492335
REST,10120,2008,0.9198864188795454,42876.27454970412
REST,10120,2009,0.9080790881356571,41520.417052440826
REST,10120,2010,0.9470788375921415,37719.846904980026
REST,10120,2011,0.9849780465975145,39143.57072268016
REST,10120,2012,1.0094816456441247,37451.21094705131
REST,10120,2013,1.009263096283796,37697.16818513915
REST,10120,2014,0.9983590851094475,37115.35558939811
REST,10120,2015,0.9846987057598875,38927.76160331663
REST,10120,2016,0.9771379091959248,42432.289492343916
REST,10120,2017,0.9857788978528609,44278.890936912874
REST,10120,2018,0.9924801264742921,44972.280978859824
REST,10120,2019,1.0030618296516944,43267.04742354229
REST,10120,2020,1.0,46500.19670755992
REST,10120,2021,1.0675375390017048,45637.040740332544
REST,10120,2022,1.2619188571676616,45441.854795511215
REST,REST,1967,0.12230475469828375,418013.2743526743
REST,REST,1968,0.12831971851843482,427807.0205713525
REST,REST,1969,0.13550506470120197,470156.02611807804
REST,REST,1970,0.14584523703842447,496990.4999309388
REST,REST,1971,0.15580998092061005,498127.83485736506
REST,REST,1972,0.16416763858937314,527446.8164710198
REST,REST,1973,0.18028577785854888,557724.9566913391
