TILGANG2,ANVENDELSE,TID,tau
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1970,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1971,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1972,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1973,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1974,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1975,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1976,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1977,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1978,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1979,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1980,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1981,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1982,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1983,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1984,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1985,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1986,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1987,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1988,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1989,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1990,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1991,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1992,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1993,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1994,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1995,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1996,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1997,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1998,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",1999,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2000,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2001,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2002,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2003,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2004,0.0
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2005,0.0030892985083594312
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2006,0.0038098169151832735
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2007,0.00394265751962551
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2008,0.003908452511085007
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2009,0.004919803371701044
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2010,0.0015863153922251615
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2011,0.0005307444004417624
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2012,0.00025481625851669004
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2013,0.0002540192844175761
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2014,0.0018810197163109546
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2015,0.0023190261932446933
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2016,0.00130393251056693
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2017,0.0016696259936781444
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2018,0.0020212695321949505
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2019,0.0014180004113899397
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2020,0.001757335571848862
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2021,0.0019724980231650134
01000 Landbrug og gartneri-(Tilgang),"Anvendelse, i alt-(Anvendelse)",2022,0.0015125977944625596
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1967,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1968,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1969,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1970,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1971,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1972,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1973,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1974,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1975,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1976,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1977,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1978,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1979,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1980,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1981,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1982,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1983,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1984,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1985,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1986,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1987,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1988,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1989,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1990,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1991,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1992,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1993,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1994,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1995,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1996,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1997,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1998,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),1999,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2000,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2001,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2002,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2003,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2004,0.0
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2005,0.004555075379106061
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2006,0.0023475907849569377
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2007,0.0036073761439029644
01000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),2008,0.002166081877262528
