TILGANG2,ANVENDELSE,TID,P_M,M
100010,100010,1983,0.9768472951170544,3316.2920657212812
100010,100010,1984,1.0342827207937222,3431.135895582088
100010,100010,1985,1.0441331195053123,5324.496191770044
100010,100010,1986,0.9522337648769177,6013.604482756412
100010,100010,1987,0.9041123568382637,5931.436704195011
100010,100010,1988,0.900126786232524,5275.93495265342
100010,100010,1989,1.0169495061017362,4768.6805817486475
100010,100010,1990,0.9546521337265647,5591.628253758216
100010,100010,1991,0.9137232764256715,4791.272783084886
100010,100010,1992,0.9355734455677244,5817.384170017514
100010,100010,1993,0.7746222841919748,7048.97568310923
100010,100010,1994,0.7902845937065839,9771.302779797223
100010,100010,1995,0.8006778669411062,5250.90552045266
100010,100010,1996,0.8070333494425453,3680.9871607287796
100010,100010,1997,0.8244613804492485,3999.618403872617
100010,100010,1998,0.7128137496829006,5532.814233697229
100010,100010,1999,0.6584362039673479,3709.0878056396714
100010,100010,2000,0.7388970632033164,3706.9823674189015
100010,100010,2001,0.7561963608967525,2881.896302058321
100010,100010,2002,0.725688829460647,3602.031696425458
100010,100010,2003,0.7059858359902728,4173.268967349505
100010,100010,2004,0.7367643924319583,3433.102411641555
100010,100010,2005,0.8141173415798608,3784.820624261069
100010,100010,2006,0.8836454859216828,3437.5957545926703
100010,100010,2007,0.8960014330208994,3217.9840204561488
100010,100010,2008,0.9583057320558677,3507.9431471899975
100010,100010,2009,0.905737763758426,5773.354935573656
100010,100010,2010,0.9062346765136539,4900.231305632523
100010,100010,2011,0.9829490701699545,4495.3360897309285
100010,100010,2012,1.0310980621427022,4537.783876548442
100010,100010,2013,1.0123883607204436,4790.061039567623
100010,100010,2014,0.9719206874526849,5479.159443791845
100010,100010,2015,0.9681297659231726,5706.002552306036
100010,100010,2016,0.949919424356561,5272.9216132230995
100010,100010,2017,0.9937951216288496,6491.926862970381
100010,100010,2018,0.950583988355442,5439.0678196701
100010,100010,2019,0.9936726804397629,5838.451594115147
100010,100010,2020,1.0,5232.80621339066
100010,100010,2021,0.948850389609149,6695.555478736924
