SOCIO,BRANCHE,TID,INDHOLD
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1987,272733
Samlede præsterede timer (1000 timer),100010 Slagterier,1987,43038
Samlede præsterede timer (1000 timer),100030 Mejerier,1987,15848
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2009,101938
Samlede præsterede timer (1000 timer),100010 Slagterier,2009,24708
Samlede præsterede timer (1000 timer),100030 Mejerier,2009,11857
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,2018,51673
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,2018,17990
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,2018,7115
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1990,69380
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1990,39560
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1990,16240
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,2003,53907
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,2003,33444
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,2003,14774
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1996,173049
Samlede præsterede timer (1000 timer),100010 Slagterier,1996,36126
Samlede præsterede timer (1000 timer),100030 Mejerier,1996,13956
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1996,56360
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1996,35864
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1996,13916
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1979,361600
Samlede præsterede timer (1000 timer),100010 Slagterier,1979,40916
Samlede præsterede timer (1000 timer),100030 Mejerier,1979,18407
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,2009,50292
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,2009,24591
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,2009,11829
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1993,60334
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1993,37868
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1993,14865
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1990,229640
Samlede præsterede timer (1000 timer),100010 Slagterier,1990,39836
Samlede præsterede timer (1000 timer),100030 Mejerier,1990,16289
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1968,153083
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1968,51163
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1968,26203
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1968,561953
Samlede præsterede timer (1000 timer),100010 Slagterier,1968,52525
Samlede præsterede timer (1000 timer),100030 Mejerier,1968,28350
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1976,408086
Samlede præsterede timer (1000 timer),100010 Slagterier,1976,39183
Samlede præsterede timer (1000 timer),100030 Mejerier,1976,20295
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1979,101299
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1979,40493
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1979,17816
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1988,247527
Samlede præsterede timer (1000 timer),100010 Slagterier,1988,42100
Samlede præsterede timer (1000 timer),100030 Mejerier,1988,18170
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2001,145343
Samlede præsterede timer (1000 timer),100010 Slagterier,2001,34124
Samlede præsterede timer (1000 timer),100030 Mejerier,2001,14454
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,2001,54651
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,2001,33927
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,2001,14421
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,2005,52515
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,2005,27323
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,2005,13876
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,2002,54411
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,2002,33707
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,2002,15108
