ANVENDELSE,TID,Pt
100040x100050,2001,0.08669004334689977
100040x100050,2002,0.0938578361598564
100040x100050,2003,0.09654273032002353
100040x100050,2004,0.10400685379172728
100040x100050,2005,0.08336590856138601
100040x100050,2006,0.10278032659461983
100040x100050,2007,0.07426519508294409
100040x100050,2008,0.0981882805478864
100040x100050,2009,0.10325658291655937
100040x100050,2010,0.10760115745686456
100040x100050,2011,0.10489537933906025
100040x100050,2012,0.09593269822537366
100040x100050,2013,0.09564006583360633
100040x100050,2014,0.07855379299835906
100040x100050,2015,0.07951903952722307
100040x100050,2016,0.07790811200161911
100040x100050,2017,0.09466332388529115
100040x100050,2018,0.09516005633794716
100040x100050,2019,0.08301997452312941
100040x100050,2020,0.08390417810858884
100040x100050,2021,0.08639892236241876
100040x100050,2022,0.08233012443934364
100040x100050,2023,
100040x100050,2024,
REST,1966,
REST,1967,
REST,1968,
REST,1969,
REST,1970,
REST,1971,
REST,1972,
REST,1973,
REST,1974,
REST,1975,
REST,1976,
REST,1977,
REST,1978,
REST,1979,
REST,1980,
REST,1981,
REST,1982,
REST,1983,
REST,1984,
REST,1985,
REST,1986,
REST,1987,
REST,1988,
REST,1989,
REST,1990,
REST,1991,
REST,1992,
REST,1993,
REST,1994,0.08955087708996311
REST,1995,0.09556327752044948
REST,1996,0.09342214484438933
REST,1997,0.09473986162545268
REST,1998,0.09101742693012409
REST,1999,0.0876348514542488
REST,2000,0.0831324656857996
REST,2001,0.0731823589901676
REST,2002,0.07897032963572896
REST,2003,0.08235998469924993
REST,2004,0.08536540859217946
REST,2005,0.07164768631701722
REST,2006,0.0807691198837454
REST,2007,0.0660854036450302
REST,2008,0.08153243368236643
REST,2009,0.09886734645265989
REST,2010,0.09819307458043397
REST,2011,0.0903700479077028
REST,2012,0.08060789549652707
REST,2013,0.08551032607591136
REST,2014,0.08566151963116023
REST,2015,0.08114877490899977
REST,2016,0.07507253804334653
REST,2017,0.08098312172726914
REST,2018,0.08266987435273389
REST,2019,0.08093253552276662
REST,2020,0.08438049730930323
REST,2021,0.0827757371052755
REST,2022,0.06325768603167772
REST,2023,
REST,2024,
