ANVENDELSE,TID,P_Mtot,M_tot,P_KL,KL,P_JKL,JKL,P_MDtot,MD_tot,P_MFtot,MF_tot
100010,2007,0.7284454654026961,38626.29577142792,0.7918907744736038,10068.823654914548,15.000882011607171,608.6413501873301,0.7021599881264415,35826.69822460749,0.9011952708169556,3108.0966475343607
100010,2008,0.7928855435508095,38070.91987680519,0.8820248778932022,9971.70227732687,21.475091229423626,602.2312596247295,0.7689362186840685,34532.617081612516,0.9511616903366578,3666.6825792422137
100010,2009,0.7714899006548398,39359.60791479676,0.8869686801738002,9966.351405580728,15.945181780642264,610.1859071485032,0.7520814702626271,34295.023903451845,0.8980953470172337,4928.717217722162
100010,2010,0.7934086638939982,38842.965047476995,0.9189497642598867,9766.515650591631,9.74597995552023,598.6086848635548,0.7744668410263851,34561.72373309923,0.9174779588652816,4262.377054634203
100010,2011,0.8681185480726988,39453.525185055456,0.9106745052522989,9567.734718449035,8.936215777851023,577.5298655364285,0.8470246437276454,35144.25609743145,1.0037659151208231,4296.115194827003
100010,2012,0.9651280023670393,36127.32395546,0.8958728137170949,9407.939191671332,3.7725969433522817,558.5366368742673,0.9501491644261988,31507.8506837179,1.0318766029050153,4505.012505286843
100010,2013,0.9662556613955138,36821.82099571312,0.9379257110308954,8853.711643570246,3.5242146249883626,432.85034601644116,0.957896536692427,31892.361888567124,1.0149243648283446,4797.006721602779
100010,2014,0.910825408584846,37391.105560959455,0.9050692879325937,8474.539429767687,3.8619979934192608,342.71368870044023,0.8984250075356772,32208.554701045417,0.9832777114866508,5038.858241288697
100010,2015,0.8582944151337619,37725.57811057614,0.9193261331716723,8155.772068932567,3.0236537311730487,246.4739678281666,0.8364071904485646,32477.731313418815,0.9952304578921557,5101.3380466197
100010,2016,0.8887893479807166,36750.75435389745,0.9756004675536493,8091.949808375113,3.413035435171767,305.8539874126811,0.8733600602305369,31893.84226323252,0.9812056211123731,4754.63643870188
100010,2017,0.9519669036976185,37236.49935970844,1.0353732747627473,7916.517645483197,5.25528314121588,243.83829344547215,0.9434756963649913,32162.369541590197,1.0089969112324948,4953.78226073506
100010,2018,0.863289853618287,37888.949885032125,1.0717561584797772,7914.491619793648,2.6273442927735386,246.88290449631322,0.8430342059561543,33064.443652538735,0.9979655799804678,4724.271151808939
100010,2019,0.9758911624266101,36686.65767089824,1.0865681453756237,7644.483882295487,2.9148420963196178,156.8680982726485,0.9729590962879104,32223.27137863829,1.000057443649136,4399.42628090032
100010,2020,1.0,37462.227999999996,1.0,8743.813288616098,1.0,567.9943826219833,1.0,33355.579,1.0,4056.149
100010,2021,0.9130695180298983,42600.802273991045,1.0727570225898049,8674.101991819149,3.1233980429107264,590.4618999332233,0.897969126657389,38271.269,1.044286366780323,4273.708
100010,2022,1.0582498211707203,41846.37418696617,1.0838192159515925,8797.412197545433,8.398832238340715,641.9000175826054,1.0411620881797299,36741.43578055107,1.2049389898858807,4930.433034258986
100030,1967,0.15589082829429707,19378.44601285318,,,,,0.1663953172490585,19172.19217909241,0.2435014316664807,271.5055905320193
100030,1968,0.15283355035387444,19355.920170345024,,,,,0.166783119126817,19038.071818201508,0.25149035831937094,341.9733486990529
100030,1969,0.16002968708384077,18697.130854429637,,,,,0.17741477293253374,18356.222236568912,0.23898813315157838,350.65757824405404
100030,1970,0.16963587818522907,18401.313645404316,,,,,0.20017326816435202,18051.06162843518,0.2453452197476964,354.8795451956936
100030,1971,0.17533091801935305,18811.867508934924,,,,,0.21759555214055232,18339.042139162866,0.2674915777858996,441.4269824020766
100030,1972,0.20638388495192111,20262.173090569464,,,,,0.23416122117274485,19720.72479325407,0.2846258680652856,496.31469184521825
100030,1973,0.28306196089977403,19705.798625393654,,,,,0.28807755003577246,19085.03456557889,0.30272448515936434,550.4840479364345
100030,1974,0.32374862219334,20238.455242249947,,,,,0.3233649290971755,19590.318646139578,0.3895092241306506,575.2854775137203
