TILGANG1,TILGANG2,ANVENDELSE,TID,Xt
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1994,27606.803076164062
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1995,26473.769498458354
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1996,26517.072029121387
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1997,26858.21003745285
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1998,28198.575043827845
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),1999,28484.94429966132
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2000,28771.91417925166
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2001,29575.416049631087
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2002,29882.983292781213
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2003,29657.34491715184
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2004,30050.063230029536
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2005,29817.892492589446
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2006,29163.559338768726
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2007,30082.1654921945
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2008,28572.087434526748
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2009,25493.92699571147
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2010,27458.45268433877
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2011,28447.082512403173
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2012,25349.036192702784
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2013,25603.391388772612
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2014,25497.478595188866
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2015,25333.708072683035
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2016,24449.487473744954
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2017,22435.433137759293
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2018,23785.81539469468
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2019,22571.87293107052
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2020,23795.023
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2021,26147.976
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100010 Slagterier- (Anvendelse),2022,24139.213101670808
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1967,12785.329807535949
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1968,12692.44645114215
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1969,11922.540554610847
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1970,11623.582930723494
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1971,11527.185979146294
